baseline (0.3% heterostrain, lab_nn_full, exact):
  w_mode=average  kappa=+0.0: T_j scale [1.0, 1.0, 1.0] | nodes [(np.float64(0.5816), np.float64(0.7266)), (np.float64(0.7594), np.float64(0.6066))] sep 0.2146 | remote gap 4.9709 meV | SAME (6s)
  w_mode=average  kappa=+5.0: T_j scale [1.0, 1.0, 1.0] | nodes [(np.float64(0.5816), np.float64(0.7266)), (np.float64(0.7594), np.float64(0.6066))] sep 0.2146 | remote gap 4.9709 meV | SAME (6s)
  w_mode=average  kappa=-5.0: T_j scale [1.0, 1.0, 1.0] | nodes [(np.float64(0.5816), np.float64(0.7266)), (np.float64(0.7594), np.float64(0.6066))] sep 0.2146 | remote gap 4.9709 meV | SAME (6s)
  w_mode=layer1   kappa=+5.0: T_j scale [0.9925, 0.99902, 0.99902] | nodes [(np.float64(0.7583), np.float64(0.603)), (np.float64(0.5826), np.float64(0.7302))] sep 0.2169 | remote gap 5.3378 meV | SAME (6s)
  w_mode=layer1   kappa=-5.0: T_j scale [1.0075, 1.00098, 1.00098] | nodes [(np.float64(0.5802), np.float64(0.7231)), (np.float64(0.7608), np.float64(0.6102))] sep 0.2130 | remote gap 4.6215 meV | SAME (6s)
braid-1 window (A=0.2, B_sym=-0.25 / -0.30), worst case layer1 kappa=+-5:
  kappa=+5.0 B=-0.25: T_j scale [0.9925, 0.99902, 0.99902] | nodes [(np.float64(0.7479), np.float64(0.6099)), (np.float64(0.5166), np.float64(0.8298))] sep 0.3192 | remote gap 0.0000 meV | SAME (7s)
  kappa=+5.0 B=-0.30: T_j scale [0.9925, 0.99902, 0.99902] | nodes [(np.float64(0.7428), np.float64(0.6089)), (np.float64(0.5188), np.float64(0.8297))] sep 0.3146 | remote gap 0.0000 meV | OPPOSITE (7s)
  kappa=-5.0 B=-0.25: T_j scale [1.0075, 1.00098, 1.00098] | nodes [(np.float64(0.7439), np.float64(0.6148)), (np.float64(0.5178), np.float64(0.8257))] sep 0.3092 | remote gap 0.0000 meV | SAME (7s)
  kappa=-5.0 B=-0.30: T_j scale [1.0075, 1.00098, 1.00098] | nodes [(np.float64(0.5207), np.float64(0.8256)), (np.float64(0.7387), np.float64(0.6133))] sep 0.3043 | remote gap 0.0000 meV | OPPOSITE (6s)
